id;date;home;away;H;D;A;date_x_x;team_x_x;total_goals_home;total_xg_home;total_goals_against_home;total_xg_against_home;last_5_home;match_played_home;PPG_home;date_x_y;team_x_y;total_goals_away;total_xg_away;total_goals_against_away;total_xg_against_away;last_5_away;match_played_away;PPG_away
61061503;2026-03-06T19:45:00Z;SSC Napoli;Torino FC;1.55;3.8;6.5;2026-02-28;SSC Napoli;41.0;41.038062;28.0;30.705261;10.0;26;2.0384615384615383;2026-03-01;Torino FC;27.0;34.41793;47.0;42.86474;7.0;26;1.1538461538461535
61061489;2026-03-07T14:00:00Z;Cagliari Calcio;Como 1907;5.75;4.0;1.571;2026-02-27;Cagliari Calcio;29.0;27.992276;36.0;43.400746000000005;5.0;26;1.1538461538461535;2026-02-28;Como 1907;44.0;48.797257;20.0;30.623075;8.0;26;1.8461538461538465
61061485;2026-03-07T17:00:00Z;Atalanta BC;Udinese Calcio;1.666;3.7;5.5;2026-03-01;Atalanta BC;37.0;51.188827;24.0;37.839863;10.0;26;1.7307692307692308;2026-03-02;Udinese Calcio;31.0;33.265211;39.0;40.338266;6.0;26;1.3461538461538465
61061495;2026-03-07T19:45:00Z;Juventus Turin;Pisa SC;1.25;6.25;11.0;2026-03-01;Juventus Turin;46.0;50.592157;28.0;27.097893999999997;5.0;26;1.807692307692308;2026-03-02;Pisa SC;20.0;30.688969699999998;44.0;48.2040973;1.0;26;0.5769230769230769
61061499;2026-03-08T11:30:00Z;US Lecce;US Cremonese;2.1;3.0;4.0;2026-02-28;US Lecce;18.0;24.037999000000003;36.0;47.017686000000005;6.0;26;0.9230769230769232;2026-03-01;US Cremonese;21.0;27.947932;38.0;52.93807600000001;1.0;26;0.9230769230769232
61061491;2026-03-08T14:00:00Z;ACF Fiorentina;Parma Calcio;1.7;3.6;5.25;2026-03-02;ACF Fiorentina;30.0;41.802516;42.0;42.79336599999999;7.0;26;0.9230769230769232;2026-02-27;Parma Calcio;20.0;28.7247833;32.0;44.49691100000001;10.0;26;1.2692307692307692
61061487;2026-03-08T14:00:00Z;Bologna FC;Hellas Verona;1.55;3.9;6.5;2026-03-02;Bologna FC;36.0;37.10619399999999;32.0;36.9852517;9.0;26;1.5;2026-02-28;Hellas Verona;20.0;27.6748853;48.0;38.75887699999999;1.0;26;0.5769230769230769
61061493;2026-03-08T17:00:00Z;Genoa CFC;AS Roma;4.2;3.4;1.909;2026-02-28;Genoa CFC;32.0;34.5829;39.0;41.8847243;4.0;26;1.0384615384615383;2026-03-01;AS Roma;37.0;43.858759000000006;19.0;30.163297;8.0;26;1.9615384615384612
61061501;2026-03-08T19:45:00Z;AC Milan;Inter Milano;3.6;3.0;2.25;2026-03-01;AC Milan;43.0;51.58172400000001;20.0;29.219327999999997;10.0;26;2.1923076923076925;2026-02-28;Inter Milano;64.0;67.15578000000001;21.0;21.712776;15.0;26;2.576923076923077
61061497;2026-03-09T19:45:00Z;Lazio Rome;Sassuolo Calcio;2.15;3.25;3.5;2026-03-01;Lazio Rome;26.0;31.228116;27.0;37.227912;5.0;26;1.3076923076923077;2026-03-01;Sassuolo Calcio;34.0;33.949704999999994;36.0;43.35983599999999;12.0;26;1.4615384615384617
61301103;2026-03-14T15:00:00Z;Burnley FC;AFC Bournemouth;4.0;3.6;1.85;2026-03-03;Burnley FC;32.0;27.324960999999995;58.0;62.886066000000014;4.0;28;0.6785714285714286;2026-03-03;AFC Bournemouth;44.0;49.677379;46.0;42.10660000000001;7.0;28;1.4285714285714286
61301115;2026-03-14T15:00:00Z;Sunderland AFC;Brighton & Hove Albion;3.3;3.4;2.2;2026-03-03;Sunderland AFC;30.0;30.084011;34.0;46.74132899999999;4.0;28;1.4285714285714286;2026-03-04;Brighton & Hove Albion;38.0;42.10467099999998;36.0;42.743515;6.0;28;1.3214285714285714
61301105;2026-03-14T17:30:00Z;Chelsea FC;Newcastle United;1.8;4.2;3.8;2026-03-04;Chelsea FC;53.0;61.55390599999999;34.0;42.860619;8.0;28;1.7142857142857142;2026-03-04;Newcastle United;42.0;47.404212;43.0;39.753237000000006;6.0;28;1.3928571428571428
61301099;2026-03-14T17:30:00Z;Arsenal FC;Everton FC;1.333;4.5;10.0;2026-03-04;Arsenal FC;59.0;58.832054;22.0;23.8599202;11.0;29;2.310344827586207;2026-03-03;Everton FC;34.0;37.704839;33.0;43.85780499999999;9.0;28;1.5357142857142858
61301117;2026-03-14T20:00:00Z;West Ham United;Manchester City;4.5;4.5;1.65;2026-03-04;West Ham United;35.0;37.626424;54.0;53.469896000000006;8.0;28;1.0;2026-03-04;Manchester City;59.0;58.574245000000005;27.0;34.580084;13.0;28;2.142857142857143
61301113;2026-03-15T14:00:00Z;Nottingham Forest;Fulham FC;2.15;3.5;3.3;2026-03-04;Nottingham Forest;28.0;35.05889499999999;43.0;50.16386700000002;2.0;28;1.0;2026-03-04;Fulham FC;40.0;36.55812600000001;43.0;46.012223;6.0;28;1.4285714285714286
61301111;2026-03-15T14:00:00Z;Manchester United;Aston Villa;1.727;3.8;4.333;2026-03-04;Manchester United;51.0;55.40818599999999;40.0;36.95565599999999;10.0;28;1.8214285714285716;2026-03-04;Aston Villa;39.0;39.006641;34.0;44.827625000000005;5.0;28;1.8214285714285716
61301107;2026-03-15T14:00:00Z;Crystal Palace;Leeds United;2.2;3.4;3.25;2026-03-05;Crystal Palace;33.0;48.63627999999999;35.0;43.75670799999999;9.0;28;1.3571428571428572;2026-03-03;Leeds United;37.0;43.829878;48.0;44.76207;5.0;28;1.1071428571428572
61301109;2026-03-15T16:30:00Z;Liverpool FC;Tottenham Hotspur;1.333;5.0;8.5;2026-03-03;Liverpool FC;48.0;53.95642;39.0;37.046798;9.0;28;1.7142857142857142;2026-03-05;Tottenham Hotspur;39.0;34.209612199999995;46.0;45.229958;0.0;28;1.0357142857142858
61624462;2026-03-06T20:00:00Z;RC Celta de Vigo;Real Madrid;3.2;3.3;2.25;2026-03-01;RC Celta de Vigo;36.0;37.399398;28.0;35.73258909999999;8.0;25;1.6;2026-03-02;Real Madrid;54.0;62.828313;22.0;31.012811;9.0;25;2.4
61624474;2026-03-07T13:00:00Z;CA Osasuna;RCD Mallorca;1.727;3.6;5.0;2026-03-01;CA Osasuna;30.0;32.006204;30.0;36.215075000000006;8.0;25;1.32;2026-02-28;RCD Mallorca;29.0;29.5547861;42.0;46.328588;3.0;25;0.96
61624472;2026-03-07T15:15:00Z;Levante UD;Girona FC;2.8;3.4;2.45;2026-02-27;Levante UD;28.0;37.493082;44.0;49.95906;3.0;25;0.84;2026-03-01;Girona FC;27.0;35.290856;42.0;47.926059;5.0;25;1.2
61624470;2026-03-08T13:00:00Z;Villarreal CF;Elche CF;1.5;4.5;6.0;2026-02-28;Villarreal CF;48.0;46.76391700000001;31.0;37.541414;9.0;25;2.04;2026-03-01;Elche CF;34.0;32.504267;39.0;50.834543;2.0;25;1.04
61624468;2026-03-08T15:15:00Z;Getafe CF;Real Betis Seville;2.8;2.9;2.8;2026-03-02;Getafe CF;21.0;21.480115;29.0;32.17281;10.0;25;1.28;2026-03-01;Real Betis Seville;42.0;44.412183;32.0;34.30428899999999;11.0;25;1.72
61624476;2026-03-08T17:30:00Z;Sevilla FC;Rayo Vallecano;2.55;3.1;3.0;2026-03-01;Sevilla FC;34.0;28.362593;41.0;45.93040400000001;6.0;25;1.2;2026-03-04;Rayo Vallecano;26.0;39.295231;32.0;38.79029500000001;8.0;25;1.2
61624476;2026-03-08T17:30:00Z;Sevilla FC;Rayo Vallecano;2.55;3.1;3.0;2026-03-01;Sevilla FC;34.0;28.362593;41.0;45.93040400000001;6.0;25;1.2;2026-03-04;Rayo Vallecano;26.0;39.295231;32.0;38.79029500000001;8.0;25;1.2
61624466;2026-03-08T20:00:00Z;Valencia CF;Deportivo Alaves;2.05;3.1;4.1;2026-03-01;Valencia CF;27.0;35.000083000000004;39.0;38.560193;6.0;25;1.16;2026-02-27;Deportivo Alaves;23.0;37.07519499999999;34.0;37.621603;5.0;25;1.08
61624464;2026-03-09T20:00:00Z;Espanyol Barcelona;Real Oviedo;1.85;3.4;4.333;2026-03-01;Espanyol Barcelona;33.0;38.721382;39.0;41.955002;2.0;25;1.44;2026-03-04;Real Oviedo;16.0;27.417118;43.0;47.100783;4.0;25;0.68
61624464;2026-03-09T20:00:00Z;Espanyol Barcelona;Real Oviedo;1.85;3.4;4.333;2026-03-01;Espanyol Barcelona;33.0;38.721382;39.0;41.955002;2.0;25;1.44;2026-03-04;Real Oviedo;16.0;27.417118;43.0;47.100783;4.0;25;0.68
61514040;2026-03-06T19:30:00Z;Bayern Munich;Borussia Monchengladbach;1.222;8.5;9.5;2026-02-28;Bayern Munich;88.0;73.76943999999997;23.0;27.037168;13.0;23;2.739130434782609;2026-02-28;Borussia Monchengladbach;27.0;34.38231699999999;39.0;39.040019;5.0;23;1.0869565217391304
61514054;2026-03-07T14:30:00Z;1. FC Heidenheim;TSG Hoffenheim;5.0;4.5;1.571;2026-02-28;1. FC Heidenheim;22.0;32.650123;53.0;53.27857699999999;1.0;23;0.6086956521739131;2026-02-28;TSG Hoffenheim;49.0;44.28957499999999;31.0;38.268315;7.0;23;2.0
61514042;2026-03-07T14:30:00Z;SC Freiburg;Bayer Leverkusen;2.9;3.3;2.4;2026-03-01;SC Freiburg;34.0;34.162432;39.0;36.548641100000005;6.0;23;1.434782608695652;2026-03-04;Bayer Leverkusen;45.0;48.401641;29.0;30.459538999999992;8.0;23;1.8695652173913044
61514042;2026-03-07T14:30:00Z;SC Freiburg;Bayer Leverkusen;2.9;3.3;2.4;2026-03-01;SC Freiburg;34.0;34.162432;39.0;36.548641100000005;6.0;23;1.434782608695652;2026-03-04;Bayer Leverkusen;45.0;48.401641;29.0;30.459538999999992;8.0;23;1.8695652173913044
61514048;2026-03-07T14:30:00Z;VFL Wolfsburg;Hamburger SV;2.3;3.5;3.0;2026-03-01;VFL Wolfsburg;33.0;33.737903;53.0;46.98290599999999;1.0;23;0.8695652173913043;2026-03-04;Hamburger SV;26.0;31.615867;35.0;41.379602;7.0;23;1.1304347826086956
61514048;2026-03-07T14:30:00Z;VFL Wolfsburg;Hamburger SV;2.3;3.5;3.0;2026-03-01;VFL Wolfsburg;33.0;33.737903;53.0;46.98290599999999;1.0;23;0.8695652173913043;2026-03-04;Hamburger SV;26.0;31.615867;35.0;41.379602;7.0;23;1.1304347826086956
61514056;2026-03-07T17:30:00Z;1. FC Cologne;Borussia Dortmund;4.1;4.0;1.75;2026-02-27;1. FC Cologne;33.0;34.727848;41.0;45.32712699999999;4.0;23;1.0434782608695652;2026-02-28;Borussia Dortmund;51.0;44.345549;25.0;31.66594000000001;10.0;23;2.260869565217391
61514052;2026-03-08T14:30:00Z;FC St. Pauli;Eintracht Frankfurt;2.625;3.4;2.6;2026-02-28;FC St. Pauli;23.0;23.375393000000003;40.0;43.951038;9.0;23;1.0;2026-03-01;Eintracht Frankfurt;48.0;37.380647;49.0;38.652579;7.0;23;1.4782608695652173
61514050;2026-03-08T16:30:00Z;Union Berlin;Werder Bremen;2.25;3.3;3.25;2026-02-28;Union Berlin;29.0;34.116127;38.0;35.033104;4.0;23;1.2173913043478262;2026-02-28;Werder Bremen;25.0;31.673612999999992;44.0;41.283679;4.0;23;0.9565217391304348
61514070;2026-03-13T19:30:00Z;Borussia Monchengladbach;FC St. Pauli;1.95;3.3;4.0;2026-02-28;Borussia Monchengladbach;27.0;34.38231699999999;39.0;39.040019;5.0;23;1.0869565217391304;2026-02-28;FC St. Pauli;23.0;23.375393000000003;40.0;43.951038;9.0;23;1.0
61526438;2026-03-06T19:45:00Z;Paris Saint-Germain;AS Monaco;1.333;5.75;7.5;2026-02-28;Paris Saint-Germain;53.0;53.766135;19.0;21.9507796;12.0;23;2.4782608695652173;2026-02-28;AS Monaco;40.0;43.267826;36.0;34.697326000000004;13.0;23;1.608695652173913
61526436;2026-03-07T16:00:00Z;FC Nantes;Angers SCO;2.2;3.0;3.6;2026-03-01;FC Nantes;22.0;25.16124399999999;41.0;39.223297;3.0;23;0.7391304347826086;2026-02-28;Angers SCO;22.0;23.04973;30.0;40.791181;6.0;23;1.2608695652173914
61526434;2026-03-07T18:00:00Z;AJ Auxerre;Strasbourg Alsace;3.6;3.3;2.1;2026-03-01;AJ Auxerre;19.0;28.088686;35.0;35.038064000000006;6.0;23;0.782608695652174;2026-02-27;Strasbourg Alsace;40.0;39.77987220000001;31.0;31.436525;5.0;23;1.5217391304347827
61526422;2026-03-07T20:05:00Z;Toulouse FC;Olympique Marseille;3.0;3.5;2.3;2026-02-28;Toulouse FC;33.0;33.92731199999999;28.0;29.7664762;2.0;23;1.3478260869565215;2026-03-01;Olympique Marseille;51.0;48.094151;33.0;35.047197999999995;5.0;23;1.8695652173913044
61526430;2026-03-08T14:00:00Z;Racing Club De Lens;FC Metz;1.27;5.75;11.0;2026-02-27;Racing Club De Lens;45.0;51.815257;21.0;29.997947000000003;10.0;23;2.3043478260869565;2026-03-01;FC Metz;22.0;22.4484086;53.0;46.468361;1.0;23;0.5652173913043478
61526432;2026-03-08T16:15:00Z;Lille OSC;FC Lorient;1.55;4.1;6.0;2026-03-01;Lille OSC;37.0;41.75805299999999;31.0;30.674606;8.0;23;1.7391304347826086;2026-03-01;FC Lorient;34.0;34.412936;38.0;37.15706619999999;8.0;23;1.434782608695652
61526426;2026-03-08T16:15:00Z;OGC Nice;Stade Rennais FC;2.875;3.5;2.35;2026-03-01;OGC Nice;30.0;33.61422300000001;44.0;42.611746;3.0;23;1.0434782608695652;2026-02-28;Stade Rennais FC;38.0;35.8364302;35.0;41.15724;9.0;23;1.7391304347826086
61526424;2026-03-08T16:15:00Z;Stade Brest 29;Le Havre AC;1.909;3.5;4.1;2026-03-01;Stade Brest 29;32.0;33.947833;34.0;36.029921;11.0;23;1.434782608695652;2026-02-28;Le Havre AC;20.0;25.31605500000001;30.0;39.277066;6.0;23;1.1304347826086956
61526428;2026-03-08T19:45:00Z;Olympique Lyon;Paris FC;1.666;3.8;5.25;2026-03-01;Olympique Lyon;39.0;39.89594499999999;26.0;30.544337;9.0;23;1.9565217391304348;2026-03-01;Paris FC;28.0;30.108259;40.0;42.419219;6.0;23;1.1304347826086956
